Sat1.Earth.RadPer         Sat1.Earth.RadApo         Sat1.Earth.Energy         Sat1.Earth.OrbitPeriod    Sat1.Earth.HMAG           Sat1.EarthMJ2000Eq.HX     Sat1.EarthMJ2000Eq.HY     Sat1.EarthMJ2000Eq.HZ     Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     
28000                     52000.00000000002         -4.982505518749999        79616.11243389039         120453.543204839          0                         -92272.76742605859        77426.04511491273         28000                     0                         0                         0                         2.765215896961168         3.295455979502092         
28000.00000000001         52000.00000000004         -4.982505518749997        79616.11243389045         120453.543204839          1.13686837721616e-13      -92272.76742605861        77426.04511491273         27999.08485539681         165.9111462691032         197.7252046176271         -0.03050450438871174      2.765125520261437         3.295348272745502         
28000                     52000.00000000002         -4.982505518749999        79616.11243389039         120453.543204839          4.547473508864641e-13     -92272.76742605862        77426.04511491272         27985.21060975331         666.911449848052          794.7941162986291         -0.1226004402079763       2.763755562040539         3.293715620114042         
28000                     52000.00000000013         -4.982505518749992        79616.11243389057         120453.543204839          9.094947017729282e-13     -92272.76742605865        77426.04511491275         27854.18004477465         2092.403802070717         2493.629748275561         -0.3841140340489243       2.750837516181495         3.278320492552231         
27999.9999999999          52000.000000003           -4.98250551874982         79616.11243389471         120453.54320484           1.818989403545857e-12     -92272.76742605947        77426.0451149134          27445.26139306208         4070.674605176112         4851.241085000649         -0.7440213734305879       2.710754878187762         3.230551864722546         
27999.99999999994         52000.00000000632         -4.98250551874961         79616.11243389972         120453.5432048414         -3.637978807091713e-12    -92272.76742606048        77426.04511491429         26745.04285600549         6095.569008941709         7264.41626531221          -1.105875713167399        2.642923541777678         3.149713625865361         
28000.00000000022         52000.00000000846         -4.982505518749459        79616.11243390334         120453.5432048426         -7.275957614183426e-12    -92272.76742606144        77426.04511491511         25761.44559140421         8090.105459278573         9641.412245561271         -1.452624828869426        2.549319556760758         3.038160740440311         
28000.00000000076         52000.00000000915         -4.982505518749383        79616.11243390518         120453.5432048437         1.091393642127514e-11     -92272.76742606229        77426.04511491579         24497.98179308974         10036.27104285536         11960.76207157211         -1.778557426673105        2.431872193339046         2.89819242314177          
28000.00000000155         52000.00000000867         -4.982505518749363        79616.11243390564         120453.5432048447         7.275957614183426e-12     -92272.76742606299        77426.04511491639         22957.25505881149         11921.43489141653         14207.41286072361         -2.079545705828261        2.292733876254842         2.732373833889156         
28000.00000000257         52000.00000000709         -4.982505518749399        79616.11243390481         120453.5432048454         7.275957614183426e-12     -92272.76742606355        77426.04511491688         21142.88354706913         13732.3541244899          16365.58236263675         -2.352058463088189        2.134370426712301         2.543643623961221         
28000.00000000371         52000.00000000461         -4.982505518749482        79616.1124339028          120453.543204846          7.275957614183426e-12     -92272.76742606401        77426.04511491727         19060.58127850451         15454.58013550771         18418.05139852642         -2.593144468215253        1.959546017101668         2.335296005734587         
28000.00000000491         52000.00000000159         -4.982505518749595        79616.1124339001          120453.5432048465         0                         -92272.76742606435        77426.04511491755         16718.66326706935         17072.84217471217         20346.62099750717         -2.800545805306357        1.771240206518065         2.110881879465214         
28000.00000000607         51999.99999999846         -4.982505518749719        79616.11243389713         120453.5432048468         7.275957614183426e-12     -92272.76742606462        77426.04511491777         14128.14895218045         18571.56849528783         22132.73347436872         -2.972776373499888        1.57252907995866          1.874067180499602         
28000.00000000714         51999.99999999547         -4.982505518749838        79616.11243389428         120453.5432048471         3.637978807091713e-12     -92272.76742606485        77426.04511491794         11302.33360035345         19935.44539762723         23758.13867258796         -3.109140361160659        1.366438804368476         1.628458354166269         
28000.00000000807         51999.99999999288         -4.982505518749941        79616.11243389179         120453.5432048473         1.818989403545857e-11     -92272.76742606502        77426.0451149181          8256.200497352209         21149.71067614153         25205.24368061978         -3.209660422003529        1.155816870477103         1.377448907772085         
28000.00000000884         51999.99999999077         -4.982505518750025        79616.11243388979         120453.5432048476         3.637978807091713e-12     -92272.76742606523        77426.04511491826         5006.213847462437         22200.07980915944         26457.02486844395         -3.274937423180614        0.943262332411001         1.124136273409605         
28000.00000000946         51999.9999999892          -4.982505518750084        79616.11243388837         120453.5432048478         3.637978807091713e-12     -92272.7674260654         77426.04511491838         1570.346301842289         23072.57977107716         27496.8298325977          -3.306001005338791        0.7310955517461114        0.8712857503230748        
28000.00000000992         51999.99999998811         -4.982505518750123        79616.11243388745         120453.543204848          9.094947017729282e-12     -92272.76742606556        77426.04511491853         -2031.519822069829        23753.35277396217         28308.14350452707         -3.304174057292164        0.5213667536046935        0.6213407016675743        
28000.00000001028         51999.99999998755         -4.982505518750135        79616.11243388715         120453.5432048482         9.094947017729282e-12     -92272.76742606575        77426.04511491867         -5776.711763241411        24228.54283464072         28874.4529665058          -3.270972304649256        0.3158972706256936        0.3764717071588763        
28000.00000001053         51999.99999998738         -4.982505518750131        79616.11243388725         120453.5432048485         9.094947017729282e-12     -92272.76742606597        77426.04511491886         -9639.3755236864          24484.46250023627         29179.4461473948          -3.208035821007893        0.116292558704555         0.1385920746281269        
28000.00000001073         51999.99999998758         -4.982505518750106        79616.11243388786         120453.5432048489         8.640199666842818e-12     -92272.76742606625        77426.04511491909         -13589.57721773222        24507.83734993722         29207.30320850226         -3.117085627065135        -0.07601543038673624      -0.09059166225598768      
28000.00000001088         51999.99999998803         -4.982505518750068        79616.11243388875         120453.5432048493         1.182343112304807e-11     -92272.76742606655        77426.04511491933         -17592.80098566803        24286.27954173073         28943.26089460488         -2.999897958964909        -0.2597474211498663       -0.3095549223224342       
28000.000000011           51999.99999998867         -4.982505518750021        79616.11243388988         120453.5432048497         1.2732925824821e-11       -92272.76742606689        77426.04511491959         -21609.53883526592        23808.90559872711         28374.34878301946         -2.858290548846589        -0.4337563765312956       -0.5169307200418184       
28000.0000000111          51999.99999998941         -4.982505518749968        79616.11243389113         120453.5432048502         1.091393642127514e-11     -92272.76742606724        77426.04511491991         -25595.23588980497        23067.06993324139         27490.26346356234         -2.694111881416923        -0.5970164918224409       -0.7114965489673858       
28000.00000001127         51999.99999999029         -4.982505518749903        79616.1124338927          120453.5432048508         1.455191522836685e-11     -92272.76742606769        77426.04511492027         -29500.38603337206        22055.20538997348         26284.37025890411         -2.509239471631188        -0.7486089561839385       -0.8921574129804105       
28000.00000001145         51999.99999999116         -4.982505518749838        79616.11243389429         120453.5432048514         1.455191522836685e-11     -92272.76742606817        77426.04511492066         -33271.32155742413        20771.62069051902         24754.6535819303          -2.305564423781154        -0.8877235421985489       -1.057947720645579        
28000.0000000117          51999.99999999205         -4.982505518749766        79616.11243389599         120453.5432048521         7.275957614183426e-12     -92272.76742606872        77426.04511492114         -36851.20297862237        19219.24329275668         22904.60224108497         -2.084979086291634        -1.013652792199001        -1.208024356746312        
28000.00000001203         51999.99999999288         -4.982505518749694        79616.11243389772         120453.5432048529         2.546585164964199e-11     -92272.76742606933        77426.04511492164         -40181.37527867922        17406.22298350095         20743.9287740832          -1.849361911783763        -1.125786237715524        -1.341659793290596        
28000.00000001246         51999.9999999937          -4.982505518749617        79616.11243389956         120453.5432048538         2.546585164964199e-11     -92272.76742607003        77426.04511492221         -43202.9362529151         15346.38234356769         18289.10629127118         -1.600566828227446        -1.223600504675084        -1.458230297346621        
28000.00000001294         51999.99999999441         -4.982505518749543        79616.11243390136         120453.5432048548         2.91038304567337e-11      -92272.76742607077        77426.04511492285         -45858.5396251517         13059.43469789027         15563.62821846024         -1.340413087480342        -1.306648847097421        -1.557203457787435        
28000.00000001352         51999.99999999508         -4.982505518749465        79616.11243390323         120453.5432048558         2.546585164964199e-11     -92272.7674260716         77426.04511492352         -48094.39908922849        10570.81495592228         12597.80670036901         -1.070664533224671        -1.374551916776992        -1.638127185026239        
28000.00000001417         51999.99999999571         -4.982505518749385        79616.11243390513         120453.543204857          2.364686224609613e-11     -92272.76742607249        77426.04511492426         -49861.91126055942        7911.586597126273         9428.661750245463         -0.7930513954572668       -1.426975992796991        -1.700603765961506        
28000.00000001487         51999.99999999628         -4.982505518749306        79616.11243390701         120453.5432048582         2.000888343900442e-11     -92272.76742607344        77426.04511492506         -51119.53376371235        5117.836482627725         6099.200014481329         -0.5092668779784773       -1.463622513719487        -1.74427738892697         
28000.00000001566         51999.99999999685         -4.982505518749221        79616.11243390908         120453.5432048596         2.683009370230138e-11     -92272.76742607445        77426.04511492592         -51834.33010597027        2229.9998449944           2657.610326756629         -0.2209873836852998       -1.484214093753684        -1.768817478409915        
28000.00000001651         51999.99999999745         -4.982505518749131        79616.11243391124         120453.543204861          2.660272002685815e-11     -92272.76742607553        77426.04511492683         -51983.33145551042        -708.0057370351353        -843.7683806889171        0.07010127195607149       -1.488485074844242        -1.773907435468489        
28000.00000001739         51999.99999999812         -4.982505518749034        79616.11243391354         120453.5432048625         2.455635694786906e-11     -92272.76742607668        77426.04511492781         -51554.63517571527        -3649.882583866337        -4349.760681869733        0.3622793389987634        -1.476177026675386        -1.759239274845432        
28000.0000000183          51999.9999999989          -4.982505518748929        79616.11243391606         120453.5432048641         2.182787284255028e-11     -92272.7674260779         77426.04511492884         -50548.18578256609        -6548.047102291504        -7803.658658631999        0.6537505327503236        -1.447040179601443        -1.724515332668193        
28000.00000001922         51999.99999999987         -4.982505518748811        79616.11243391888         120453.5432048658         2.182787284255028e-11     -92272.7674260792         77426.0451149299          -48976.13486017011        -9355.078849127265        -11148.94882744952        0.942623155268868         -1.400840049306786        -1.669456161411215        
28000.00000002013         52000.00000000108         -4.982505518748679        79616.11243392203         120453.5432048675         1.818989403545857e-11     -92272.76742608052        77426.04511493103         -46862.8209628861         -12024.95992770479        -14330.78919464359        1.226865687643385         -1.337372208855682        -1.593818134539415        
28000.00000002093         52000.00000000256         -4.982505518748537        79616.11243392545         120453.5432048693         1.455191522836685e-11     -92272.76742608188        77426.04511493217         -44244.32540072106        -14514.42556886143        -17297.61881613188        1.504276114451956         -1.256485230890133        -1.497420787954883        
28000.00000002171         52000.00000000441         -4.982505518748374        79616.11243392938         120453.5432048711         7.275957614183426e-12     -92272.76742608324        77426.04511493332         -41167.50354203142        -16784.31112391758        -20002.76308114775        1.772463757672413         -1.15810913580452         -1.380180723211213        
28000.00000002239         52000.00000000664         -4.982505518748192        79616.11243393373         120453.5432048729         1.455191522836685e-11     -92272.7674260847         77426.0451149345          -37688.64180130451        -18800.68876575606        -22405.7883798354         2.028831882561491         -1.042293021328598        -1.242156452704232        
